vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,169,169
openai,2,169,169
croviatrust,1,169,169
anthropic,1,169,169
mistralai,1,169,169
Crovia,1,169,169
timm,11,159,160
Qwen,9,159,160
nvidia,4,156,160
microsoft,3,159,160
openai-community,2,160,160
Salesforce,2,160,160
Falconsai,1,160,160
dima806,1,160,160
vikhyatk,1,160,160
cross-encoder,1,160,160
iitolstykh,1,160,160
evamxb,1,160,160
tencent,1,160,160
lucadiliello,1,160,160
cyankiwi,1,160,160
huggingface,1,160,160
google-research-datasets,1,160,160
m-a-p,1,160,160
KakologArchives,1,160,160
hf-doc-build,1,160,160
NTU-NLP-sg,1,160,160
deepmind,1,160,160
allenai,3,159,159
facebook,2,159,159
deepseek-ai,2,159,159
YiboZhang2001,2,159,159
nateraw,2,159,159
Rowan,1,159,159
aps,1,159,159
mlfoundations,1,159,159
jat-project,1,159,159
stanfordnlp,1,159,159
hkunlp,1,159,159
InternRobotics,1,159,159
Alibaba-NLP,1,159,159
distilbert,1,159,159
wecover,1,159,159
ieasybooks-org,1,159,159
IPEC-COMMUNITY,1,159,159
M-FAC,1,159,159
HuggingFaceM4,1,159,159
E-MIMIC,1,159,159
h2oai,1,159,159
Respair,1,159,159
cybersectony,1,159,159
snunlp,1,159,159
cardiffnlp,1,159,159
amunchet,1,159,159
Zyphra,1,159,159
haesungoh,1,159,159
applied-ai-018,1,159,159
qandos0,1,159,159
genrobot2025,1,159,159
qanastek,1,159,159
AquaV,1,159,159
vectara,1,159,159
mcp-course,1,159,159
madhurjindal,1,156,156
jitesh,1,156,156
rizvandwiki,1,156,156
lavita,1,156,156
