vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,232,232
openai,2,232,232
anthropic,1,232,232
mistralai,1,232,232
timm,11,222,223
Qwen,9,222,223
nvidia,4,219,223
microsoft,3,222,223
openai-community,2,223,223
Salesforce,2,223,223
Falconsai,1,223,223
dima806,1,223,223
vikhyatk,1,223,223
cross-encoder,1,223,223
iitolstykh,1,223,223
evamxb,1,223,223
tencent,1,223,223
lucadiliello,1,223,223
cyankiwi,1,223,223
huggingface,1,223,223
google-research-datasets,1,223,223
m-a-p,1,223,223
KakologArchives,1,223,223
hf-doc-build,1,223,223
NTU-NLP-sg,1,223,223
deepmind,1,223,223
allenai,3,222,222
facebook,2,222,222
deepseek-ai,2,222,222
YiboZhang2001,2,222,222
nateraw,2,222,222
Rowan,1,222,222
aps,1,222,222
mlfoundations,1,222,222
jat-project,1,222,222
stanfordnlp,1,222,222
hkunlp,1,222,222
InternRobotics,1,222,222
Alibaba-NLP,1,222,222
distilbert,1,222,222
wecover,1,222,222
ieasybooks-org,1,222,222
IPEC-COMMUNITY,1,222,222
M-FAC,1,222,222
HuggingFaceM4,1,222,222
E-MIMIC,1,222,222
h2oai,1,222,222
Respair,1,222,222
cybersectony,1,222,222
snunlp,1,222,222
cardiffnlp,1,222,222
amunchet,1,222,222
Zyphra,1,222,222
haesungoh,1,222,222
applied-ai-018,1,222,222
qandos0,1,222,222
genrobot2025,1,222,222
qanastek,1,222,222
AquaV,1,222,222
vectara,1,222,222
mcp-course,1,222,222
madhurjindal,1,219,219
jitesh,1,219,219
rizvandwiki,1,219,219
lavita,1,219,219
llm-jp,1,219,219
smp-hub,1,219,219
