vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,218,218
openai,2,218,218
croviatrust,1,218,218
anthropic,1,218,218
mistralai,1,218,218
Crovia,1,218,218
timm,11,208,209
Qwen,9,208,209
nvidia,4,205,209
microsoft,3,208,209
openai-community,2,209,209
Salesforce,2,209,209
Falconsai,1,209,209
dima806,1,209,209
vikhyatk,1,209,209
cross-encoder,1,209,209
iitolstykh,1,209,209
evamxb,1,209,209
tencent,1,209,209
lucadiliello,1,209,209
cyankiwi,1,209,209
huggingface,1,209,209
google-research-datasets,1,209,209
m-a-p,1,209,209
KakologArchives,1,209,209
hf-doc-build,1,209,209
NTU-NLP-sg,1,209,209
deepmind,1,209,209
allenai,3,208,208
facebook,2,208,208
deepseek-ai,2,208,208
YiboZhang2001,2,208,208
nateraw,2,208,208
Rowan,1,208,208
aps,1,208,208
mlfoundations,1,208,208
jat-project,1,208,208
stanfordnlp,1,208,208
hkunlp,1,208,208
InternRobotics,1,208,208
Alibaba-NLP,1,208,208
distilbert,1,208,208
wecover,1,208,208
ieasybooks-org,1,208,208
IPEC-COMMUNITY,1,208,208
M-FAC,1,208,208
HuggingFaceM4,1,208,208
E-MIMIC,1,208,208
h2oai,1,208,208
Respair,1,208,208
cybersectony,1,208,208
snunlp,1,208,208
cardiffnlp,1,208,208
amunchet,1,208,208
Zyphra,1,208,208
haesungoh,1,208,208
applied-ai-018,1,208,208
qandos0,1,208,208
genrobot2025,1,208,208
qanastek,1,208,208
AquaV,1,208,208
vectara,1,208,208
mcp-course,1,208,208
madhurjindal,1,205,205
jitesh,1,205,205
rizvandwiki,1,205,205
lavita,1,205,205
