vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,162,162
openai,2,162,162
croviatrust,1,162,162
anthropic,1,162,162
mistralai,1,162,162
Crovia,1,162,162
timm,11,152,153
Qwen,9,152,153
nvidia,4,149,153
microsoft,3,152,153
openai-community,2,153,153
Salesforce,2,153,153
Falconsai,1,153,153
dima806,1,153,153
vikhyatk,1,153,153
cross-encoder,1,153,153
iitolstykh,1,153,153
evamxb,1,153,153
tencent,1,153,153
lucadiliello,1,153,153
cyankiwi,1,153,153
huggingface,1,153,153
google-research-datasets,1,153,153
m-a-p,1,153,153
KakologArchives,1,153,153
hf-doc-build,1,153,153
NTU-NLP-sg,1,153,153
deepmind,1,153,153
allenai,3,152,152
facebook,2,152,152
deepseek-ai,2,152,152
YiboZhang2001,2,152,152
nateraw,2,152,152
Rowan,1,152,152
aps,1,152,152
mlfoundations,1,152,152
jat-project,1,152,152
stanfordnlp,1,152,152
hkunlp,1,152,152
InternRobotics,1,152,152
Alibaba-NLP,1,152,152
distilbert,1,152,152
wecover,1,152,152
ieasybooks-org,1,152,152
IPEC-COMMUNITY,1,152,152
M-FAC,1,152,152
HuggingFaceM4,1,152,152
E-MIMIC,1,152,152
h2oai,1,152,152
Respair,1,152,152
cybersectony,1,152,152
snunlp,1,152,152
cardiffnlp,1,152,152
amunchet,1,152,152
Zyphra,1,152,152
haesungoh,1,152,152
applied-ai-018,1,152,152
qandos0,1,152,152
genrobot2025,1,152,152
qanastek,1,152,152
AquaV,1,152,152
vectara,1,152,152
mcp-course,1,152,152
madhurjindal,1,149,149
jitesh,1,149,149
rizvandwiki,1,149,149
lavita,1,149,149
