vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,190,190
openai,2,190,190
croviatrust,1,190,190
anthropic,1,190,190
mistralai,1,190,190
Crovia,1,190,190
timm,11,180,181
Qwen,9,180,181
nvidia,4,177,181
microsoft,3,180,181
openai-community,2,181,181
Salesforce,2,181,181
Falconsai,1,181,181
dima806,1,181,181
vikhyatk,1,181,181
cross-encoder,1,181,181
iitolstykh,1,181,181
evamxb,1,181,181
tencent,1,181,181
lucadiliello,1,181,181
cyankiwi,1,181,181
huggingface,1,181,181
google-research-datasets,1,181,181
m-a-p,1,181,181
KakologArchives,1,181,181
hf-doc-build,1,181,181
NTU-NLP-sg,1,181,181
deepmind,1,181,181
allenai,3,180,180
facebook,2,180,180
deepseek-ai,2,180,180
YiboZhang2001,2,180,180
nateraw,2,180,180
Rowan,1,180,180
aps,1,180,180
mlfoundations,1,180,180
jat-project,1,180,180
stanfordnlp,1,180,180
hkunlp,1,180,180
InternRobotics,1,180,180
Alibaba-NLP,1,180,180
distilbert,1,180,180
wecover,1,180,180
ieasybooks-org,1,180,180
IPEC-COMMUNITY,1,180,180
M-FAC,1,180,180
HuggingFaceM4,1,180,180
E-MIMIC,1,180,180
h2oai,1,180,180
Respair,1,180,180
cybersectony,1,180,180
snunlp,1,180,180
cardiffnlp,1,180,180
amunchet,1,180,180
Zyphra,1,180,180
haesungoh,1,180,180
applied-ai-018,1,180,180
qandos0,1,180,180
genrobot2025,1,180,180
qanastek,1,180,180
AquaV,1,180,180
vectara,1,180,180
mcp-course,1,180,180
madhurjindal,1,177,177
jitesh,1,177,177
rizvandwiki,1,177,177
lavita,1,177,177
