vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,134,134
openai,2,134,134
croviatrust,1,134,134
anthropic,1,134,134
mistralai,1,134,134
Crovia,1,134,134
timm,11,124,125
Qwen,9,124,125
nvidia,4,121,125
microsoft,3,124,125
openai-community,2,125,125
Salesforce,2,125,125
Falconsai,1,125,125
dima806,1,125,125
vikhyatk,1,125,125
cross-encoder,1,125,125
iitolstykh,1,125,125
evamxb,1,125,125
tencent,1,125,125
lucadiliello,1,125,125
cyankiwi,1,125,125
huggingface,1,125,125
google-research-datasets,1,125,125
m-a-p,1,125,125
KakologArchives,1,125,125
hf-doc-build,1,125,125
NTU-NLP-sg,1,125,125
deepmind,1,125,125
allenai,3,124,124
facebook,2,124,124
deepseek-ai,2,124,124
YiboZhang2001,2,124,124
nateraw,2,124,124
Rowan,1,124,124
aps,1,124,124
mlfoundations,1,124,124
jat-project,1,124,124
stanfordnlp,1,124,124
hkunlp,1,124,124
InternRobotics,1,124,124
Alibaba-NLP,1,124,124
distilbert,1,124,124
wecover,1,124,124
ieasybooks-org,1,124,124
IPEC-COMMUNITY,1,124,124
M-FAC,1,124,124
HuggingFaceM4,1,124,124
E-MIMIC,1,124,124
h2oai,1,124,124
Respair,1,124,124
cybersectony,1,124,124
snunlp,1,124,124
cardiffnlp,1,124,124
amunchet,1,124,124
Zyphra,1,124,124
haesungoh,1,124,124
applied-ai-018,1,124,124
qandos0,1,124,124
genrobot2025,1,124,124
qanastek,1,124,124
AquaV,1,124,124
vectara,1,124,124
mcp-course,1,124,124
madhurjindal,1,121,121
jitesh,1,121,121
rizvandwiki,1,121,121
lavita,1,121,121
