vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,127,127
openai,2,127,127
croviatrust,1,127,127
anthropic,1,127,127
mistralai,1,127,127
Crovia,1,127,127
timm,11,117,118
Qwen,9,117,118
nvidia,4,114,118
microsoft,3,117,118
openai-community,2,118,118
Salesforce,2,118,118
Falconsai,1,118,118
dima806,1,118,118
vikhyatk,1,118,118
cross-encoder,1,118,118
iitolstykh,1,118,118
evamxb,1,118,118
tencent,1,118,118
lucadiliello,1,118,118
cyankiwi,1,118,118
huggingface,1,118,118
google-research-datasets,1,118,118
m-a-p,1,118,118
KakologArchives,1,118,118
hf-doc-build,1,118,118
NTU-NLP-sg,1,118,118
deepmind,1,118,118
allenai,3,117,117
facebook,2,117,117
deepseek-ai,2,117,117
YiboZhang2001,2,117,117
nateraw,2,117,117
Rowan,1,117,117
aps,1,117,117
mlfoundations,1,117,117
jat-project,1,117,117
stanfordnlp,1,117,117
hkunlp,1,117,117
InternRobotics,1,117,117
Alibaba-NLP,1,117,117
distilbert,1,117,117
wecover,1,117,117
ieasybooks-org,1,117,117
IPEC-COMMUNITY,1,117,117
M-FAC,1,117,117
HuggingFaceM4,1,117,117
E-MIMIC,1,117,117
h2oai,1,117,117
Respair,1,117,117
cybersectony,1,117,117
snunlp,1,117,117
cardiffnlp,1,117,117
amunchet,1,117,117
Zyphra,1,117,117
haesungoh,1,117,117
applied-ai-018,1,117,117
qandos0,1,117,117
genrobot2025,1,117,117
qanastek,1,117,117
AquaV,1,117,117
vectara,1,117,117
mcp-course,1,117,117
madhurjindal,1,114,114
jitesh,1,114,114
rizvandwiki,1,114,114
lavita,1,114,114
