vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,120,120
openai,2,120,120
croviatrust,1,120,120
anthropic,1,120,120
mistralai,1,120,120
Crovia,1,120,120
timm,11,110,111
Qwen,9,110,111
nvidia,4,107,111
microsoft,3,110,111
openai-community,2,111,111
Salesforce,2,111,111
Falconsai,1,111,111
dima806,1,111,111
vikhyatk,1,111,111
cross-encoder,1,111,111
iitolstykh,1,111,111
evamxb,1,111,111
tencent,1,111,111
lucadiliello,1,111,111
cyankiwi,1,111,111
huggingface,1,111,111
google-research-datasets,1,111,111
m-a-p,1,111,111
KakologArchives,1,111,111
hf-doc-build,1,111,111
NTU-NLP-sg,1,111,111
deepmind,1,111,111
allenai,3,110,110
facebook,2,110,110
deepseek-ai,2,110,110
YiboZhang2001,2,110,110
nateraw,2,110,110
Rowan,1,110,110
aps,1,110,110
mlfoundations,1,110,110
jat-project,1,110,110
stanfordnlp,1,110,110
hkunlp,1,110,110
InternRobotics,1,110,110
Alibaba-NLP,1,110,110
distilbert,1,110,110
wecover,1,110,110
ieasybooks-org,1,110,110
IPEC-COMMUNITY,1,110,110
M-FAC,1,110,110
HuggingFaceM4,1,110,110
E-MIMIC,1,110,110
h2oai,1,110,110
Respair,1,110,110
cybersectony,1,110,110
snunlp,1,110,110
cardiffnlp,1,110,110
amunchet,1,110,110
Zyphra,1,110,110
haesungoh,1,110,110
applied-ai-018,1,110,110
qandos0,1,110,110
genrobot2025,1,110,110
qanastek,1,110,110
AquaV,1,110,110
vectara,1,110,110
mcp-course,1,110,110
madhurjindal,1,107,107
jitesh,1,107,107
rizvandwiki,1,107,107
lavita,1,107,107
