vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,239,239
openai,2,239,239
anthropic,1,239,239
mistralai,1,239,239
timm,11,229,230
Qwen,9,229,230
nvidia,4,226,230
microsoft,3,229,230
openai-community,2,230,230
Salesforce,2,230,230
Falconsai,1,230,230
dima806,1,230,230
vikhyatk,1,230,230
cross-encoder,1,230,230
iitolstykh,1,230,230
evamxb,1,230,230
tencent,1,230,230
lucadiliello,1,230,230
cyankiwi,1,230,230
huggingface,1,230,230
google-research-datasets,1,230,230
m-a-p,1,230,230
KakologArchives,1,230,230
hf-doc-build,1,230,230
NTU-NLP-sg,1,230,230
deepmind,1,230,230
allenai,3,229,229
facebook,2,229,229
deepseek-ai,2,229,229
YiboZhang2001,2,229,229
nateraw,2,229,229
Rowan,1,229,229
aps,1,229,229
mlfoundations,1,229,229
jat-project,1,229,229
stanfordnlp,1,229,229
hkunlp,1,229,229
InternRobotics,1,229,229
Alibaba-NLP,1,229,229
distilbert,1,229,229
wecover,1,229,229
ieasybooks-org,1,229,229
IPEC-COMMUNITY,1,229,229
M-FAC,1,229,229
HuggingFaceM4,1,229,229
E-MIMIC,1,229,229
h2oai,1,229,229
Respair,1,229,229
cybersectony,1,229,229
snunlp,1,229,229
cardiffnlp,1,229,229
amunchet,1,229,229
Zyphra,1,229,229
haesungoh,1,229,229
applied-ai-018,1,229,229
qandos0,1,229,229
genrobot2025,1,229,229
qanastek,1,229,229
AquaV,1,229,229
vectara,1,229,229
mcp-course,1,229,229
madhurjindal,1,226,226
jitesh,1,226,226
rizvandwiki,1,226,226
lavita,1,226,226
llm-jp,1,226,226
smp-hub,1,226,226
