rank,target_id,silence_days,first_seen_iso,last_seen_iso
1,meta-llama/Llama-3.1-8B,239,2026-01-17T18:20:23Z,2026-04-17T00:01:11Z
2,openai/gpt-4-turbo,239,2026-01-17T18:20:23Z,2026-05-29T15:01:31Z
3,anthropic/claude-3-opus,239,2026-01-17T18:20:23Z,2026-06-01T05:01:11Z
4,mistralai/Mistral-7B-v0.3,239,2026-01-17T18:20:23Z,2026-06-01T01:00:58Z
5,Falconsai/nsfw_image_detection,230,2026-01-26T18:04:13Z,2026-04-19T06:00:37Z
6,dima806/fairface_age_image_detection,230,2026-01-26T18:04:13Z,2026-02-10T16:00:01Z
7,vikhyatk/moondream2,230,2026-01-26T18:04:13Z,2026-05-29T18:01:19Z
8,cross-encoder/ms-marco-MiniLM-L6-v2,230,2026-01-26T18:04:13Z,2026-02-11T08:00:01Z
9,openai-community/gpt2,230,2026-01-26T18:04:13Z,2026-04-18T06:00:37Z
10,Qwen/Qwen3-4B,230,2026-01-26T18:04:13Z,2026-05-31T07:01:22Z
11,openai/gpt-oss-20b,230,2026-01-26T18:04:13Z,2026-04-18T18:00:39Z
12,timm/resnet50.a1_in1k,230,2026-01-26T18:04:13Z,2026-05-29T22:00:34Z
13,iitolstykh/mivolo_v2,230,2026-01-26T18:04:13Z,2026-06-01T09:00:38Z
14,Qwen/Qwen3-8B,230,2026-01-26T18:04:13Z,2026-05-26T21:00:55Z
15,timm/efficientnet_b2.ra_in1k,230,2026-01-26T20:15:44Z,2026-02-11T06:00:02Z
16,timm/mobilenetv3_large_100.miil_in21k_ft_in1k,230,2026-01-26T20:15:44Z,2026-02-08T04:00:01Z
17,evamxb/dev-author-em-clf,230,2026-01-26T20:15:44Z,2026-04-19T10:00:10Z
18,tencent/POINTS-Reader,230,2026-01-26T20:15:44Z,2026-06-01T00:01:02Z
19,microsoft/Multilingual-MiniLM-L12-H384,230,2026-01-26T20:15:44Z,2026-05-31T21:01:24Z
20,Qwen/Qwen3-Reranker-8B,230,2026-01-26T20:15:44Z,2026-05-31T06:01:18Z
21,lucadiliello/BLEURT-20,230,2026-01-26T20:15:44Z,2026-06-01T04:00:13Z
22,cyankiwi/GLM-4.5-Air-AWQ-4bit,230,2026-01-26T20:15:44Z,2026-05-28T22:00:44Z
23,timm/tf_mobilenetv3_large_minimal_100.in1k,230,2026-01-26T20:15:44Z,2026-02-10T08:00:02Z
24,timm/vit_base_patch16_224.augreg_in21k,230,2026-01-26T20:15:44Z,2026-02-06T22:00:00Z
25,huggingface/documentation-images,230,2026-01-26T21:19:38Z,2026-05-29T01:00:53Z
26,nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim,230,2026-01-26T21:19:38Z,2026-06-01T13:00:02Z
27,Salesforce/wikitext,230,2026-01-26T21:19:38Z,2026-05-31T04:00:17Z
28,Salesforce/GiftEvalPretrain,230,2026-01-26T21:19:38Z,2026-05-31T08:00:22Z
29,google-research-datasets/mbpp,230,2026-01-26T21:19:38Z,2026-05-29T17:00:24Z
30,m-a-p/FineFineWeb,230,2026-01-26T21:19:38Z,2026-06-01T05:01:31Z
31,KakologArchives/KakologArchives,230,2026-01-26T21:19:38Z,2026-06-01T11:01:25Z
32,hf-doc-build/doc-build,230,2026-01-26T21:19:38Z,2026-05-31T10:01:15Z
