vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,183,183
openai,2,183,183
croviatrust,1,183,183
anthropic,1,183,183
mistralai,1,183,183
Crovia,1,183,183
timm,11,173,174
Qwen,9,173,174
nvidia,4,170,174
microsoft,3,173,174
openai-community,2,174,174
Salesforce,2,174,174
Falconsai,1,174,174
dima806,1,174,174
vikhyatk,1,174,174
cross-encoder,1,174,174
iitolstykh,1,174,174
evamxb,1,174,174
tencent,1,174,174
lucadiliello,1,174,174
cyankiwi,1,174,174
huggingface,1,174,174
google-research-datasets,1,174,174
m-a-p,1,174,174
KakologArchives,1,174,174
hf-doc-build,1,174,174
NTU-NLP-sg,1,174,174
deepmind,1,174,174
allenai,3,173,173
facebook,2,173,173
deepseek-ai,2,173,173
YiboZhang2001,2,173,173
nateraw,2,173,173
Rowan,1,173,173
aps,1,173,173
mlfoundations,1,173,173
jat-project,1,173,173
stanfordnlp,1,173,173
hkunlp,1,173,173
InternRobotics,1,173,173
Alibaba-NLP,1,173,173
distilbert,1,173,173
wecover,1,173,173
ieasybooks-org,1,173,173
IPEC-COMMUNITY,1,173,173
M-FAC,1,173,173
HuggingFaceM4,1,173,173
E-MIMIC,1,173,173
h2oai,1,173,173
Respair,1,173,173
cybersectony,1,173,173
snunlp,1,173,173
cardiffnlp,1,173,173
amunchet,1,173,173
Zyphra,1,173,173
haesungoh,1,173,173
applied-ai-018,1,173,173
qandos0,1,173,173
genrobot2025,1,173,173
qanastek,1,173,173
AquaV,1,173,173
vectara,1,173,173
mcp-course,1,173,173
madhurjindal,1,170,170
jitesh,1,170,170
rizvandwiki,1,170,170
lavita,1,170,170
