vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,225,225
openai,2,225,225
anthropic,1,225,225
mistralai,1,225,225
timm,11,215,216
Qwen,9,215,216
nvidia,4,212,216
microsoft,3,215,216
openai-community,2,216,216
Salesforce,2,216,216
Falconsai,1,216,216
dima806,1,216,216
vikhyatk,1,216,216
cross-encoder,1,216,216
iitolstykh,1,216,216
evamxb,1,216,216
tencent,1,216,216
lucadiliello,1,216,216
cyankiwi,1,216,216
huggingface,1,216,216
google-research-datasets,1,216,216
m-a-p,1,216,216
KakologArchives,1,216,216
hf-doc-build,1,216,216
NTU-NLP-sg,1,216,216
deepmind,1,216,216
allenai,3,215,215
facebook,2,215,215
deepseek-ai,2,215,215
YiboZhang2001,2,215,215
nateraw,2,215,215
Rowan,1,215,215
aps,1,215,215
mlfoundations,1,215,215
jat-project,1,215,215
stanfordnlp,1,215,215
hkunlp,1,215,215
InternRobotics,1,215,215
Alibaba-NLP,1,215,215
distilbert,1,215,215
wecover,1,215,215
ieasybooks-org,1,215,215
IPEC-COMMUNITY,1,215,215
M-FAC,1,215,215
HuggingFaceM4,1,215,215
E-MIMIC,1,215,215
h2oai,1,215,215
Respair,1,215,215
cybersectony,1,215,215
snunlp,1,215,215
cardiffnlp,1,215,215
amunchet,1,215,215
Zyphra,1,215,215
haesungoh,1,215,215
applied-ai-018,1,215,215
qandos0,1,215,215
genrobot2025,1,215,215
qanastek,1,215,215
AquaV,1,215,215
vectara,1,215,215
mcp-course,1,215,215
madhurjindal,1,212,212
jitesh,1,212,212
rizvandwiki,1,212,212
lavita,1,212,212
llm-jp,1,212,212
smp-hub,1,212,212
