rank,target_id,silence_days,first_seen_iso,last_seen_iso
62,snunlp/KR-FinBert-SC,215,2026-01-27T19:22:57Z,2026-06-01T01:00:02Z
63,cardiffnlp/twitter-roberta-base-sentiment,215,2026-01-27T19:22:57Z,2026-02-12T04:57:40Z
64,amunchet/rorshark-vit-base,215,2026-01-27T19:22:57Z,2026-02-11T15:00:00Z
65,deepseek-ai/DeepSeek-V3,215,2026-01-27T19:22:57Z,2026-06-01T02:01:39Z
66,timm/efficientnet_b4.ra2_in1k,215,2026-01-27T19:22:57Z,2026-02-06T06:00:00Z
67,YiboZhang2001/TexVerse,215,2026-01-27T19:22:57Z,2026-06-01T04:00:05Z
68,Zyphra/dclm-dedup,215,2026-01-27T19:22:57Z,2026-06-01T12:01:04Z
69,haesungoh/MVAdapt-Dataset-Mini,215,2026-01-27T19:22:57Z,2026-05-30T12:01:16Z
70,allenai/dolma3_mix-6T,215,2026-01-27T19:22:57Z,2026-06-01T05:00:50Z
71,applied-ai-018/peacock-data-public-datasets-idc-warc-data,215,2026-01-27T19:22:57Z,2026-05-31T10:01:27Z
72,qandos0/SentimentArEng,215,2026-01-27T19:22:57Z,2026-04-18T08:00:12Z
73,microsoft/resnet-18,215,2026-01-27T19:22:57Z,2026-02-07T16:00:00Z
74,timm/tf_efficientnetv2_b0.in1k,215,2026-01-27T19:22:57Z,2026-02-05T09:00:00Z
75,genrobot2025/10Kh-RealOmin-OpenData,215,2026-01-27T19:22:57Z,2026-05-31T08:00:07Z
76,nateraw/bert-base-uncased-emotion,215,2026-01-27T19:22:57Z,2026-02-10T23:00:01Z
77,qanastek/51-languages-classifier,215,2026-01-27T19:22:57Z,2026-02-08T09:00:01Z
78,AquaV/genshin-voices-separated,215,2026-01-27T19:22:57Z,2026-05-31T10:01:47Z
79,vectara/hallucination_evaluation_model,215,2026-01-27T19:22:57Z,2026-05-28T09:01:32Z
80,mcp-course/images,215,2026-01-27T19:22:57Z,2026-05-30T13:00:56Z
81,meta-llama/Llama-3.2-1B-Instruct,212,2026-01-30T21:00:01Z,2026-04-19T04:00:35Z
82,Qwen/Qwen3-4B-Instruct-2507,212,2026-01-30T21:00:01Z,2026-05-30T22:01:18Z
83,facebook/bart-large-mnli,212,2026-01-30T18:14:21Z,2026-02-10T16:00:01Z
84,Qwen/Qwen2.5-Coder-0.5B-Instruct,212,2026-01-30T21:00:01Z,2026-05-27T16:01:30Z
85,timm/mobilenetv3_large_100.ra_in1k,212,2026-01-30T18:14:21Z,2026-02-10T13:00:00Z
86,madhurjindal/autonlp-Gibberish-Detector-492513457,212,2026-01-30T18:00:01Z,2026-02-08T12:00:00Z
87,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,212,2026-01-30T18:00:01Z,2026-02-11T18:00:00Z
