rank,target_id,silence_days,first_seen_iso,last_seen_iso
1,meta-llama/Llama-3.1-8B,211,2026-01-17T18:20:23Z,2026-04-17T00:01:11Z
2,openai/gpt-4-turbo,211,2026-01-17T18:20:23Z,2026-05-29T15:01:31Z
3,croviatrust/crovia-core-engine,211,2026-01-17T18:20:23Z,2026-01-25T12:00:01Z
4,anthropic/claude-3-opus,211,2026-01-17T18:20:23Z,2026-06-01T05:01:11Z
5,mistralai/Mistral-7B-v0.3,211,2026-01-17T18:20:23Z,2026-06-01T01:00:58Z
6,Crovia/global-ai-training-omissions,211,2026-01-17T18:20:23Z,2026-01-25T12:00:01Z
7,Falconsai/nsfw_image_detection,202,2026-01-26T18:04:13Z,2026-04-19T06:00:37Z
8,dima806/fairface_age_image_detection,202,2026-01-26T18:04:13Z,2026-02-10T16:00:01Z
9,vikhyatk/moondream2,202,2026-01-26T18:04:13Z,2026-05-29T18:01:19Z
10,cross-encoder/ms-marco-MiniLM-L6-v2,202,2026-01-26T18:04:13Z,2026-02-11T08:00:01Z
11,openai-community/gpt2,202,2026-01-26T18:04:13Z,2026-04-18T06:00:37Z
12,Qwen/Qwen3-4B,202,2026-01-26T18:04:13Z,2026-05-31T07:01:22Z
13,openai/gpt-oss-20b,202,2026-01-26T18:04:13Z,2026-04-18T18:00:39Z
14,timm/resnet50.a1_in1k,202,2026-01-26T18:04:13Z,2026-05-29T22:00:34Z
15,iitolstykh/mivolo_v2,202,2026-01-26T18:04:13Z,2026-06-01T09:00:38Z
16,Qwen/Qwen3-8B,202,2026-01-26T18:04:13Z,2026-05-26T21:00:55Z
17,timm/efficientnet_b2.ra_in1k,202,2026-01-26T20:15:44Z,2026-02-11T06:00:02Z
18,timm/mobilenetv3_large_100.miil_in21k_ft_in1k,202,2026-01-26T20:15:44Z,2026-02-08T04:00:01Z
19,evamxb/dev-author-em-clf,202,2026-01-26T20:15:44Z,2026-04-19T10:00:10Z
20,tencent/POINTS-Reader,202,2026-01-26T20:15:44Z,2026-06-01T00:01:02Z
21,microsoft/Multilingual-MiniLM-L12-H384,202,2026-01-26T20:15:44Z,2026-05-31T21:01:24Z
22,Qwen/Qwen3-Reranker-8B,202,2026-01-26T20:15:44Z,2026-05-31T06:01:18Z
23,lucadiliello/BLEURT-20,202,2026-01-26T20:15:44Z,2026-06-01T04:00:13Z
24,cyankiwi/GLM-4.5-Air-AWQ-4bit,202,2026-01-26T20:15:44Z,2026-05-28T22:00:44Z
25,timm/tf_mobilenetv3_large_minimal_100.in1k,202,2026-01-26T20:15:44Z,2026-02-10T08:00:02Z
26,timm/vit_base_patch16_224.augreg_in21k,202,2026-01-26T20:15:44Z,2026-02-06T22:00:00Z
27,huggingface/documentation-images,202,2026-01-26T21:19:38Z,2026-05-29T01:00:53Z
28,nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim,202,2026-01-26T21:19:38Z,2026-06-01T13:00:02Z
29,Salesforce/wikitext,202,2026-01-26T21:19:38Z,2026-05-31T04:00:17Z
30,Salesforce/GiftEvalPretrain,202,2026-01-26T21:19:38Z,2026-05-31T08:00:22Z
31,google-research-datasets/mbpp,202,2026-01-26T21:19:38Z,2026-05-29T17:00:24Z
32,m-a-p/FineFineWeb,202,2026-01-26T21:19:38Z,2026-06-01T05:01:31Z
33,KakologArchives/KakologArchives,202,2026-01-26T21:19:38Z,2026-06-01T11:01:25Z
34,hf-doc-build/doc-build,202,2026-01-26T21:19:38Z,2026-05-31T10:01:15Z
35,NTU-NLP-sg/xCodeEval,202,2026-01-26T21:19:38Z,2026-05-31T10:01:17Z
36,deepmind/code_contests,202,2026-01-26T21:19:38Z,2026-06-01T02:00:54Z
37,Rowan/hellaswag,201,2026-01-27T19:22:57Z,2026-05-29T19:01:36Z
38,Qwen/Qwen2.5-1.5B-Instruct,201,2026-01-27T19:22:57Z,2026-05-31T21:01:20Z
39,facebook/opt-125m,201,2026-01-27T18:04:05Z,2026-04-18T00:00:37Z
40,aps/super_glue,201,2026-01-27T18:04:05Z,2026-06-01T02:01:43Z
41,Qwen/Qwen2.5-Coder-1.5B,201,2026-01-27T18:04:05Z,2026-05-31T07:00:51Z
42,mlfoundations/dclm-baseline-1.0,201,2026-01-27T18:04:05Z,2026-05-31T18:01:33Z
43,jat-project/jat-dataset-tokenized,201,2026-01-27T18:04:05Z,2026-06-01T08:00:44Z
44,microsoft/beit-base-patch16-224-pt22k-ft22k,201,2026-01-27T18:04:05Z,2026-02-04T20:00:00Z
45,openai-community/gpt2-medium,201,2026-01-27T18:04:05Z,2026-04-18T21:01:00Z
46,stanfordnlp/imdb,201,2026-01-27T18:04:05Z,2026-05-28T22:00:30Z
47,hkunlp/instructor-large,201,2026-01-27T18:04:05Z,2026-05-29T21:00:45Z
48,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,201,2026-01-27T19:14:47Z,2026-05-31T17:00:04Z
49,InternRobotics/InternData-BridgeV2,201,2026-01-27T19:14:47Z,2026-06-01T07:00:31Z
50,Alibaba-NLP/gte-multilingual-reranker-base,201,2026-01-27T19:14:47Z,2026-05-31T17:01:36Z
51,distilbert/distilbert-base-uncased-finetuned-sst-2-english,201,2026-01-27T19:14:47Z,2026-02-10T07:00:00Z
52,wecover/OPUS_Tatoeba,201,2026-01-27T19:14:47Z,2026-05-31T16:00:02Z
53,ieasybooks-org/prophet-mosque-library,201,2026-01-27T19:14:47Z,2026-05-31T14:00:04Z
54,IPEC-COMMUNITY/droid_lerobot,201,2026-01-27T19:14:47Z,2026-05-31T13:01:41Z
55,M-FAC/bert-mini-finetuned-mnli,201,2026-01-27T19:14:47Z,2026-04-16T04:00:47Z
56,timm/maxvit_nano_rw_256.sw_in1k,201,2026-01-27T19:14:47Z,2026-02-07T02:00:01Z
57,HuggingFaceM4/FineVision,201,2026-01-27T19:14:47Z,2026-05-29T01:00:09Z
58,E-MIMIC/inclusively-classification,201,2026-01-27T19:22:57Z,2026-04-19T07:01:01Z
59,h2oai/h2ovl-mississippi-800m,201,2026-01-27T19:22:57Z,2026-06-01T13:01:30Z
60,allenai/openbookqa,201,2026-01-27T19:22:57Z,2026-06-01T05:01:36Z
61,Respair/BBC_Pargar,201,2026-01-27T19:22:57Z,2026-06-01T11:00:26Z
62,cybersectony/phishing-email-detection-distilbert_v2.4.1,201,2026-01-27T19:22:57Z,2026-02-11T10:00:02Z
63,timm/tf_efficientnetv2_m.in21k_ft_in1k,201,2026-01-27T19:22:57Z,2026-02-08T13:00:00Z
64,snunlp/KR-FinBert-SC,201,2026-01-27T19:22:57Z,2026-06-01T01:00:02Z
65,cardiffnlp/twitter-roberta-base-sentiment,201,2026-01-27T19:22:57Z,2026-02-12T04:57:40Z
66,amunchet/rorshark-vit-base,201,2026-01-27T19:22:57Z,2026-02-11T15:00:00Z
67,deepseek-ai/DeepSeek-V3,201,2026-01-27T19:22:57Z,2026-06-01T02:01:39Z
68,timm/efficientnet_b4.ra2_in1k,201,2026-01-27T19:22:57Z,2026-02-06T06:00:00Z
69,YiboZhang2001/TexVerse,201,2026-01-27T19:22:57Z,2026-06-01T04:00:05Z
70,Zyphra/dclm-dedup,201,2026-01-27T19:22:57Z,2026-06-01T12:01:04Z
71,haesungoh/MVAdapt-Dataset-Mini,201,2026-01-27T19:22:57Z,2026-05-30T12:01:16Z
72,allenai/dolma3_mix-6T,201,2026-01-27T19:22:57Z,2026-06-01T05:00:50Z
73,applied-ai-018/peacock-data-public-datasets-idc-warc-data,201,2026-01-27T19:22:57Z,2026-05-31T10:01:27Z
74,qandos0/SentimentArEng,201,2026-01-27T19:22:57Z,2026-04-18T08:00:12Z
75,microsoft/resnet-18,201,2026-01-27T19:22:57Z,2026-02-07T16:00:00Z
76,timm/tf_efficientnetv2_b0.in1k,201,2026-01-27T19:22:57Z,2026-02-05T09:00:00Z
77,genrobot2025/10Kh-RealOmin-OpenData,201,2026-01-27T19:22:57Z,2026-05-31T08:00:07Z
78,nateraw/bert-base-uncased-emotion,201,2026-01-27T19:22:57Z,2026-02-10T23:00:01Z
79,qanastek/51-languages-classifier,201,2026-01-27T19:22:57Z,2026-02-08T09:00:01Z
80,AquaV/genshin-voices-separated,201,2026-01-27T19:22:57Z,2026-05-31T10:01:47Z
81,vectara/hallucination_evaluation_model,201,2026-01-27T19:22:57Z,2026-05-28T09:01:32Z
82,mcp-course/images,201,2026-01-27T19:22:57Z,2026-05-30T13:00:56Z
83,meta-llama/Llama-3.2-1B-Instruct,198,2026-01-30T21:00:01Z,2026-04-19T04:00:35Z
84,Qwen/Qwen3-4B-Instruct-2507,198,2026-01-30T21:00:01Z,2026-05-30T22:01:18Z
85,facebook/bart-large-mnli,198,2026-01-30T18:14:21Z,2026-02-10T16:00:01Z
86,Qwen/Qwen2.5-Coder-0.5B-Instruct,198,2026-01-30T21:00:01Z,2026-05-27T16:01:30Z
87,timm/mobilenetv3_large_100.ra_in1k,198,2026-01-30T18:14:21Z,2026-02-10T13:00:00Z
88,madhurjindal/autonlp-Gibberish-Detector-492513457,198,2026-01-30T18:00:01Z,2026-02-08T12:00:00Z
89,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,198,2026-01-30T18:00:01Z,2026-02-11T18:00:00Z
90,allenai/objaverse,198,2026-01-30T18:00:01Z,2026-05-30T23:00:07Z
91,jitesh/emotion-english,198,2026-01-30T18:00:01Z,2026-06-01T07:00:28Z
92,nvidia/PhysicalAI-Autonomous-Vehicles,198,2026-01-30T18:00:01Z,2026-05-30T17:01:15Z
93,YiboZhang2001/TexVerse-1K,198,2026-01-30T18:00:01Z,2026-05-30T04:00:31Z
94,Qwen/Qwen3-30B-A3B,198,2026-01-30T18:00:01Z,2026-05-31T21:01:38Z
95,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,198,2026-01-30T18:00:01Z,2026-02-11T12:00:01Z
96,Qwen/Qwen2.5-Coder-32B-Instruct,198,2026-01-30T18:00:01Z,2026-05-31T10:01:23Z
97,rizvandwiki/gender-classification-2,198,2026-01-30T18:00:01Z,2026-06-01T01:00:16Z
98,lavita/medical-qa-shared-task-v1-toy,198,2026-01-30T18:00:01Z,2026-05-29T08:00:07Z
99,timm/wide_resnet50_2.racm_in1k,198,2026-01-30T18:00:01Z,2026-06-01T03:01:39Z
