vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,211,211
openai,2,211,211
croviatrust,1,211,211
anthropic,1,211,211
mistralai,1,211,211
Crovia,1,211,211
timm,11,201,202
Qwen,9,201,202
nvidia,4,198,202
microsoft,3,201,202
openai-community,2,202,202
Salesforce,2,202,202
Falconsai,1,202,202
dima806,1,202,202
vikhyatk,1,202,202
cross-encoder,1,202,202
iitolstykh,1,202,202
evamxb,1,202,202
tencent,1,202,202
lucadiliello,1,202,202
cyankiwi,1,202,202
huggingface,1,202,202
google-research-datasets,1,202,202
m-a-p,1,202,202
KakologArchives,1,202,202
hf-doc-build,1,202,202
NTU-NLP-sg,1,202,202
deepmind,1,202,202
allenai,3,201,201
facebook,2,201,201
deepseek-ai,2,201,201
YiboZhang2001,2,201,201
nateraw,2,201,201
Rowan,1,201,201
aps,1,201,201
mlfoundations,1,201,201
jat-project,1,201,201
stanfordnlp,1,201,201
hkunlp,1,201,201
InternRobotics,1,201,201
Alibaba-NLP,1,201,201
distilbert,1,201,201
wecover,1,201,201
ieasybooks-org,1,201,201
IPEC-COMMUNITY,1,201,201
M-FAC,1,201,201
HuggingFaceM4,1,201,201
E-MIMIC,1,201,201
h2oai,1,201,201
Respair,1,201,201
cybersectony,1,201,201
snunlp,1,201,201
cardiffnlp,1,201,201
amunchet,1,201,201
Zyphra,1,201,201
haesungoh,1,201,201
applied-ai-018,1,201,201
qandos0,1,201,201
genrobot2025,1,201,201
qanastek,1,201,201
AquaV,1,201,201
vectara,1,201,201
mcp-course,1,201,201
madhurjindal,1,198,198
jitesh,1,198,198
rizvandwiki,1,198,198
lavita,1,198,198
