vendor,n_silent_models_in_top100,median_silence_days,max_silence_days
meta-llama,2,113,113
openai,2,113,113
croviatrust,1,113,113
anthropic,1,113,113
mistralai,1,113,113
Crovia,1,113,113
timm,11,103,104
Qwen,9,103,104
nvidia,4,100,104
microsoft,3,103,104
openai-community,2,104,104
Salesforce,2,104,104
Falconsai,1,104,104
dima806,1,104,104
vikhyatk,1,104,104
cross-encoder,1,104,104
iitolstykh,1,104,104
evamxb,1,104,104
tencent,1,104,104
lucadiliello,1,104,104
cyankiwi,1,104,104
huggingface,1,104,104
google-research-datasets,1,104,104
m-a-p,1,104,104
KakologArchives,1,104,104
hf-doc-build,1,104,104
NTU-NLP-sg,1,104,104
deepmind,1,104,104
allenai,3,103,103
facebook,2,103,103
deepseek-ai,2,103,103
YiboZhang2001,2,103,103
nateraw,2,103,103
Rowan,1,103,103
aps,1,103,103
mlfoundations,1,103,103
jat-project,1,103,103
stanfordnlp,1,103,103
hkunlp,1,103,103
InternRobotics,1,103,103
Alibaba-NLP,1,103,103
distilbert,1,103,103
wecover,1,103,103
ieasybooks-org,1,103,103
IPEC-COMMUNITY,1,103,103
M-FAC,1,103,103
HuggingFaceM4,1,103,103
E-MIMIC,1,103,103
h2oai,1,103,103
Respair,1,103,103
cybersectony,1,103,103
snunlp,1,103,103
cardiffnlp,1,103,103
amunchet,1,103,103
Zyphra,1,103,103
haesungoh,1,103,103
applied-ai-018,1,103,103
qandos0,1,103,103
genrobot2025,1,103,103
qanastek,1,103,103
AquaV,1,103,103
vectara,1,103,103
mcp-course,1,103,103
madhurjindal,1,100,100
jitesh,1,100,100
rizvandwiki,1,100,100
lavita,1,100,100
